name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"Keyboard Cover Design for 2019 2018 Surface Laptop 2 13.5"" and 15"" |2020 Surface Book 3 13.5 and 15"" |2019 2018 Surface Book 2 |Surface Laptop (2017) Keyboard Protective Cover Skin -Black",B08B5SB45D,,3391,Computer,6.9 x 5.5 x 0.1 ,0.256,2020-06-15,,,,,,,,,,,,,,,,,,,
"LuvCase 3 in 1 Laptop Case for Mac Air 13 Inch (Touch ID) (2018-2020) A1932 Retina Display Hard Shell Cover, Keyboard Cover & Screen Protector (Mist 12)",B07WW52XMS,,15967,Laptop,12.1 x 8.3 x 0.08 ,1.28,2019-08-22,,AR13-MIST12+KC+SP,,,,,,,,,,,,,,,,,
"Keyboard Cover Compatible with Dell Inspiron 15 7000 7590 7591 7500 7501 7506 i7506 7706 i7706, Inspiron 15 5501 5502 5508 5509 5584 5590 5593 5598, Vostro 15 7590 7591 5590 7500 Laptop - Gradual Pink",B07TW66ZC6,,265,Computer,12.5 x 3.5 x 0.3,0.11824,2019-07-01,,,,,,,,,,,,,,,,,,,
"Corsair K63 Wireless Mechanical Gaming Keyboard, backlit Blue LED, Cherry MX Red - Quiet & Linear",B077ZX9KJ7,Corsair,4497,Video,14.4 x 6.8 x 1.6,2.4,2018-01-08,No,CH-9145030-NA,,,,,,,,,,,,Blue,,,,,
"CHONCHOW RGB Gaming Keyboard,Wired LED Backlit Keyboard with Wrist Rest,Multimedia Key,Whisper Silent,Water Risistance,Best for Laptop PC Computer PS4",B08CVCM8G4,,30972,Video,17.4 x 6.4 x 1.2,1.5,2020-09-15,,T931,,,,,,,,,,,,,,,,,
"Anban MacBook Air 13 inch Case 2020 2019 2018 Release A2337 M1 A2179 A1932, Slim Plastic Hard Corner Protective Shell Cover with Keyboard Cover + Screen Skin Compatible with Mac Air 13 with Touch ID",B081JNKHN9,Anban,3385,Laptop,13.78 x 13.46 x 0.91 ,1.632,2019-09-10,,,,,,,,,,13 Inches,,,,Cream White & Light Cyan,,,,,
"BOYI 60% Mechanical Gaming Keyboard,BOYI 61 Mini RGB Cherry MX Switch PBT Keycap 60% RGB Mechanical Gaming Keyboard (Black Color with Cherry MX Brown Switch)",B08PDJTBLB,,28012,Video,13 x 6.65 x 2 ,2.2,2020-12-01,,,,,,,,,,,,,,,,,,,
HP-CTO T6T83AA#ABA HP Slim USB Keyboard and Mouse,B01BVX7EJ4,HP,768,Computer,25 x 10 x 3.7,1.5,2016-02-17,No,T6T83AA#ABA,,,T6T83AA#ABA,,,,,,,,,,1,1,,,
GinTai Laptop US Keyboard Replacement for HP 250 G4 255 G4 256 G4 250 G5 255 G5 No Frame,B07HQP99ZZ,,1484,Laptop,15.28 x 5.63 x 1.22 ,1.1520000000000001,2018-09-27,No,,,,,,,,,,,,,,,,,,
"UHamn Silicone Keyboard Skin Cover Compatible 2018 2019 11.6"" Lenovo Chromebook Flex 11, 11.6 inch Lenovo N20 N21 N22 N23 100e 300e 500e C330 Chromebook, 14"" Lenovo N42 N42-20 Chromebook (Pink Ombre)",B07SXH2RJ4,,3053,Computer,12.8 x 5.43 x 0.24 ,0.06752,2019-06-11,,,,,,,,,,,,,,,,,,,
"Keyboard Cover for Lenovo Yoga C940 C740 15.6, Keyboard Cover for 2020 2019 Lenovo IdeaPad 320 330 330s 240s 15.6""/IdeaPad 320 330 17.3""/IdeaPad 520 720s 15.6"" Ultra Thin TPU Keyboard Protector Skin",B07YKKFZYY,,6417,Computer,10.5 x 5 x 0.1,0.24,2019-09-29,,,,,,,,,,,,,,,,,,,
Insignia USB Keyboard and Mouse Combo,B00LF9SJ1W,,31950,Electronics,22.2 x 6.4 x 0.4,1.98,2014-09-05,No,,,,,,,,,,,,,,,,,,
Clear Keyboard Cover for HP Envy x360 15.6/HP Pavilion 15 2019 2018/HP Pavilion x360 15.6/HP Envy 17 Series/HP Laptop 15.6 inch Series/HP Laptop 17.3 inch TPU Keyboard Cover Skin,B07XD216WG,,289,Computer,14 x 5 x 0.3 ,0.2528,2019-09-03,,,,,,,,,,,,,,,,,,,
"EPOMAKER AKKO 3108-9009 Retro 108-Key 100% Mechanical Keyboard with Cherry MX Switch, N-Key Rollover, 85% PBT Keycaps, Type C Port for Gamers (Cherry Blue Switch, 3108-9009)",B089M2VMLJ,,1448,Computer,20.71 x 8.82 x 2.36 ,3.52,2020-05-28,,,,,,,,,,,,,,,,,,,
Leze - Ultra Thin Keyboard Cover Compatible with Dell KM717 Premier Wireless Keyboard - Mint,B087N2742J,,4780,Computer,13 x 4.5 x 0.3,0.10144,2020-04-25,,,,,,,,,,,,,,,,,,,
"The House of Trade Standing Desk | Desk Riser Classic Stand Up Desk | 32 in Wide Fits 2 Monitors with Retractable Keyboard Tray (Black, 32"" Wide)",B019GTZ5ZA,The House of Trade,25822,Office,32 x 24 x 6.5,27.0,2015-12-10,No,HOT-1011,,,,,,,,,,,,Black,,,,,
"Keyboard Protector Cover for Samsung Galaxy Book 13.3 inch with Fingerprint Reader NP930QCG-K01US NP930XCJ-K01US, Samsung Galaxy Book Flex Alpha 2-in-1 13.3"" Touchscreen Keyboard Skin -Clear",B08Q3NY4XL,,2566,Computer,13.9 x 6.46 x 0.08 ,0.1696,2020-12-09,,,,,,,,,,,,,,,,,,,
"Numeric Keypad,USB Numeric Keypad,Kadaon USB 18 Key Number Numeric Keypad Keyboard for Laptop/Notebook PC Computer",B01M4NH7F9,,7,Numeric,5.5 x 3.3 x 0.7,0.512,2016-10-25,No,8541661237,,,,,,,,,,,,,,,,,
"Universal Reusable Keyboard Cover for Standard Size Pc Computer Desktop Keyboard(Width 5.5"" X Height 17.7""), Ultra Thin Silicone Anti Dust Waterproof Keyboard Protector Skin - Light Blue",B07SQJ94Z6,,2305,Computer,17.52 x 5.51 x 0.03,0.10144,2019-06-08,,universal desktop keyboard cover,,,,,,,,,,,,,,,,,
Keycap Puller Remover Keycaps Removal Tool with Brushs for Mechanical Keyboard and Electronic Devices,B08RDHRK1B,,228,Computer,3.94 x 2.36 x 0.39 ,0.08464,2020-12-28,,,,,,,,,,,,,,,,,,,
"ArtSo Keyboard Wrist Rest and Mouse Pad with Wrist Support, Ergonomic Mouse Pad, Durable Comfortable Lightweight for Easy Typing Pain Relief, Memory Foam Keyboard Mousepad Set, Teal Turqoise Marble",B08LMVM9GD,,55424,Office,17.3 x 7.9 x 0.98,2.08,2020-10-22,,,,,,,,,,,,,,,,,,,
"Ultra Thin Keyboard Cover for 2020 Dell New XPS 13 9300 9310 13.4 inch Laptop Keyboard Cover Protective Skin, Dell XPS 13 9300 Accessories, New XPS 13 2-in-1 9310 Keyboard Skin, US Layout",B089T1GZKC,,287,Computer,12 x 4 x 0.4,0.2704,2020-06-08,,,,,,,,,,,,,,,,,,,
"Padarsey Replacement Keyboard Without Backlit and Frame Compatible for MacBook Pro A1502 13"" 2013-2015 Retina Series Black US Layout, Compatible with Part Numbers ME864 ME865 ME866(6 Months Warranty)",B0798QMKW8,,151,Laptop,13.62 x 5.79 x 0.83 ,0.848,2018-01-24,No,,,,,,,,,,,,,,,,,,
2Pcs Keyboard Cover for Acer Chromebook Spin 11 cp311 / Chromebook R11 / Chromebook 11 CB3-131 CB3-132 CP311 C738T CB5-132T / 2020 Chromebook Spin 713 CP713 R13 CB5-312T / Acer Chromebook 14 15,B08F9Q7P6G,,5597,Computer,6.9 x 5 x 0.1 ,0.256,2020-08-05,,,,,,,,,,,,,,,,,,,
New Keyboard Compatible with Gateway NV50A NV59A NV51B NV53A NV55C NV59C NV73A NV79C ZR7 ZYB ID58 ID59 ID79 NEW95 NEW90 PEW71 PEW72 PEW76 PEW91 P5WS6 MS2291 MS2230 NE51B NE56R NE71B NE522 NE722 NV570P,B01NGZ51WG,,293,Laptop,15.3 x 5.6 x 0.9 ,1.28,2016-12-23,No,,,,,,,,,,,,,,,,,,
Wired Silm Keyboard with Touchpad - Portable Scissors Foot Structure - USB Port with 1 Hubs,B075FPQF7Y,,1847,Computer,12.2 x 4.5 x 0.78,1.9680000000000002,2017-09-07,No,8541647927,,,,,,,,,,,,,,,,,
"Foldable Bluetooth Keyboard, Portable Wireless Keyboard, Bluetooth Folding Keyboard, Rechargeable Pocket Sized Keyboard Compatible with iOS, Android, Windows Smartphone Tablet PC etc",B08NSWXWCH,,1492,Computer,7.2 x 4.4 x 1 ,0.976,2020-11-18,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
Dierya DK61 Pro Bluetooth 5.1 Mechanical Gaming Keyboard 60% Wireless/Wired PBT Keycap RGB Backlit Compact 61 Keys Computer Mini Keyboard with Full Keys Programmable (Gateron Optical Brown Switch),B085G5QSM6,,5972,Video,13.43 x 6.69 x 1.97 ,1.87,2020-03-03,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"Mechanical Gaming Keyboard,MARVO Scorpion Rainbow LED Backlit Wired USB Compact Gaming Keyboard w/Blue Switches,for Windows PC Computer Games",B083TMKV9Y,,36685,Video,18.35 x 6.54 x 1.81 ,2.06,2020-01-13,,,,,,,,,,,,,,,,,,,
YYubao Premiere Pro CC MacBook Silicone Shortcut Hot Key Keyboard Protective Dust Cover Skin for MacBook Air 13 & MacBook Pro 13 15 17 (with/Without Retina Display) (Both US/European ISO Keyboard),B06Y1YXKC3,,681,Computer,12.01 x 5.79 x 0.2 ,0.1024,2017-04-05,No,8541659732,,,,,,,,,,,,,,,,,
"Keyboard Cover for HP 15.6"" Laptop HP 15-BA010NR 15-BA009DX 15-BA015WM 15-BA079DX, HP 15-BS015DX 15.6 Inch Laptop Keyboard Skin, Black",B0158UWKYA,,2223,Computer,14.9 x 6.9 x 0.7,0.128,2015-09-11,No,HP15-BLACK,,,,,,,,,,,,,,,,,
"Keyboard Cover Compatible with Lenovo ThinkPad X260 12.5 / ThinkPad X240 X240S X250 12.5"" / Thinkpad x380 13.3"" / Thinkpad Yoga 260, 12.5 inch ThinkPad X260 Keyboard Protector Skin, Black",B07XJ1M3ZG,,725,Computer,10.63 x 4.06 x 0.08,0.12960000000000002,2019-09-05,,ThinkPad X260 X240 X240S X250 x380,,,,,,,,,,,,,,,,,
MUBUY Keyboard Cover for 2020 2019 Lenovo Yoga C740 C940 9i 15 15.6 Inch with Numeric Keypad -Ultra Slim TPU Keyboard Protector Cover,B083CSPGPQ,,4105,Computer,14.2 x 5.5 x 0.2 ,0.3824,2020-01-01,,,,,,,,,,,,,,,,,,,
Duboonmat Keyboard Wrist Rest Pad and Mouse Wrist Rest Support Mouse Pad Set，Non Slip Rubber Base Ergonomic Raised Memory Foam (KMfangkuai),B08K35FF2D,Duboonmat,114881,Office,16.93 x 3.35 x 0.98 ,1.296,2020-09-25,,,,,,,,,,,,,,Kmfangkuai,,,,,
"LuvCase 4in1 Laptop Case for Mac Pro 13""(2021/2020) with Touch Bar A2338 M1/A2251/A2289 Hard Shell Cover, Sleeve Bag, Keyboard Cover & Screen Protector (Mist 13)",B08DTW3Q4Y,,28164,Laptop,13.35 x 10.63 x 1.97 ,1.04,2020-07-29,,2020PRO13-MIST13+KC+SP+SB,,,,,,,,,,,,,,,,,
Dell Latitude 7200 2in1 Keyboard,B07TDWMG51,Dell,678,Computer,12.52 x 10.08 x 1.02 ,1.35,,No,AG00-BK-US,,,,,,,,,,,,,,,Unknown,,1
"CaseBuy Magic Keyboard Cover for Apple Wireless Magic Keyboard(2nd Generation) Model MLA22LL/A A1644, Magic Keyboard 2 Cover Skin, iMac Magic Accessories, Ultra Thin TPU Protector Skin",B01CMCDCN0,,2960,Computer,14 x 5.5 x 0.3 ,0.056319999999999995,2017-03-21,,magic keyboard 2,,,,,,,,,,,,,,,,,
Mouse Pad RGB Oversized Glowing Led Extended Mouse pad Non-Slip Rubber Base Computer Keyboard Pad Mat Electric Race，31.5X 11.8in,B07PPZSM43,WeYingLe,8053,Office,31.5 x 11.81 x 0.16,1.45,2019-03-16,,,,,,,,,,,,,,RGB Mouse Pad,,,,,
5Pack Black Color Rounded Key Puller Keycap Puller/Key Cap Remover Tool for Mechanical Keyboard,B07R48RFGY,,275,Computer,4.92 x 3.9 x 0.24 ,0.07888,2019-04-26,,,,,,,,,,,,,,,,,,,
"ZAGG Slimbook Go - Ultrathin Case, Hinged with Detachable Bluetooth Keyboard - Made for 2019 Apple iPad Pro 11"" - Black",B07G8J3KS2,ZAGG,203,Tablet,11.37 x 1.3 x 9.2,1.536,,No,103302110,1 Lithium Polymer batteries required. (included),,"Apple iPad Pro 11""",,,,,,,,,Black,,,,,
"2 Sets Ergonomic Computer Elbow Wrist Pad, AUHOKY Long & Short Size Combination Keyboard Wrist Rest Elbow Support Mat for Office Desktop Working Gaming - Memory Foam Relieve Elbow Pain (Purple)",B07S32FG5R,AUHOKY,26894,Office,12.01 x 8.27 x 2.99 ,1.28,2019-05-21,,,,,,,,,,,,,,Purple,,,,,
"EPOMAKER Ajazz i610T 61 Keys Bluetooth Mechanical Keyboard Dual Mode with Type C Cable, Backlit NKRO for Gaming (Blue Switch, Black)",B089M9RYQW,,22471,Video,13 x 6.1 x 1.4 ,1.65,2020-06-03,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
ZAGG Rugged Book Durable Case with Detachable Backlit Bluetooth Keyboard for Apple iPad Pro 9.7 and iPad Air 2 (not made for 2017 5th Gen 9.7) - Black,B01FM8HMWS,ZAGG,1988,Tablet,7.2 x 1.1 x 9.84,2.3,2016-05-13,No,ID8RGK-BB0,1 Lithium Polymer batteries required. (included),,ZAGG Rugged Durable Case with Detachable Backlit BluetoothKeyboard for iPad,,,,,9.7 Inches,,,,Black,,,,,
"Wireless Numeric Keypad, TRELC Mini 2.4G 18 Keys Number Pad, Portable Silent Financial Accounting Numpad Number Keyboard Extensions for Laptop, PC, Desktop, Notebook (Black)",B08CXSQBLT,,116,Numeric,5.51 x 3.54 x 1.18 ,0.672,2020-07-14,,,,,,,,,,,,,,,,,,,
"CaseBuy Keyboard Cover Compatible 2018/2017 Release Google Pixelbook 2-in-1 Chromebook 12.3"" Touch-Screen, Google Pixelbook Accessories, Gradual Pink",B07MDLXCHL,,4905,Computer,14 x 6.75 x 0.1 ,0.12960000000000002,2018-12-28,No,"Google Pixelbook 12.3""",,,,,,,,,,,,,,,,,
RCA Voyager Pro+ [RCT6876Q22K00] 7 Inches 2GB RAM 16GB Storage with Keyboard Case Tablet Android 10 (Go Edition) (Burgundy),B08KHVNJZW,RCA,66994,Electronics,9.53 x 6.61 x 3.03 ,1.89,2020-10-02,,,,,,,,,,7 Inches,1024 x 600,,,Burgundy,,,DDR SDRAM,6 Hours,
AUTENS Replacement US Keyboard for Dell Chromebook 3180 3181 3189 3380 Laptop No Backlight,B07ZZD718B,,450,Laptop,12.4 x 6.38 x 0.83 ,1.696,2019-11-04,,,,,,,,,,,,,,,,,,,
"Keyboard Cover for Thinkpad E14 L14 T470 T470s T480 T480S T490 T490s T495 T495s T14 T14s E480 E485 E490 E495, Thinkpad P14s P43s, Thinkpad X1 Carbon 2019 2020, X1 Yoga 2019 2020 Laptop - Black",B01GKSDXKO,LEZE,1232,Computer,6.5 x 2.76 x 0.04,0.0017599999999999998,2016-06-04,No,6489565,,,,,,,,,,,,Black,,,,,
"Replacement Keyboard for Lenovo Thinkpad T470 T480 with Backlight US Layout, New, Never Used",B07GQY2XGQ,TellusRem,750,Laptop,16.14 x 6.69 x 1.97,2.048,2018-08-24,,,,,,,,,,,,,,,,,,,
"Poetic Bumper Series Case Designed for iPad 10.2 7th Generation 2019 / 8th Generation 2020 Case, Compatible with Official Apple Smart Cover and Smart Keyboard, Pink Sand",B08276QXV9,,21459,Tablet,14.21 x 8.94 x 0.39 ,0.8,2019-12-02,,BackBumper-iPad7thgen-2019-Pink,,,,,,,,,,,,,,,,,
Ajazz AK35I Mechanical Gaming Keyboard – Blue Switches - PBT Keycaps – Grey-White Matching – White Backlit - Multimedia Keys – Black,B088K2JTJC,,34996,Video,17.32 x 5.91 x 1.42,2.07,2020-05-13,,,,,,,,,,,,,,,,,,,
"MOSISO Plastic Hard Shell Case & Keyboard Cover Skin & Screen Protector Only Compatible with MacBook Air 11 inch (Models: A1370 & A1465), Navy Blue",B078PKX42M,MOSISO,1861,Laptop,12.99 x 8.86 x 0.79,1.376,2017-12-29,No,,,,,,,,,11 Inches,,,,Navy Blue,,,,,
"KeyCover - Keyboard Cover Compatible 14"" HP EliteBook 840 G5 & 840 G6, EliteBook 745 G5 & EliteBook 745 G6, HP ZBook 14u G5 Laptop - Gradual Pink",B07Q46FM4W,,1024,Laptop,12.5 x 5.5 x 0.3,0.12960000000000002,2019-03-28,,,,,,,,,,,,,,,,,,,
HP 701671-001 USB Windows keyboard assembly - With integrated Circuit(s) Cards Interface Devices (CCID) smartcard reader - With attached 1.8m (6.0ft) type-A USB cable,B00G2FS50O,HP,3070,Computer,19.25 x 7.5 x 1.75 ,2.35,,No,701671-001,,,,,,,,,,,,,,,,,
XSKN Photoshop CC English Silicone Shortcuts Keyboard Cover Skin for Touch Bar Models 2019 New MacBook Pro 16 inch A2141 2020 New MacBook Pro 13.3 inch A2251/A2289/A2338 M1 Keyboard US Version,B083WLH2PT,,3002,Computer,10.91 x 4.29 x 0.01,0.06208,2020-01-15,,K-330,,,,,,,,,,,,,,,,,
"Tecware Spectre Pro, RGB Mechanical Keyboard, RGB LED (Outemu Brown)",B08C7FQCJ2,,14038,Video,17.72 x 5.79 x 1.38,2.57,2020-08-17,,TW-KB-SP104-ZOBR,,,,,,,,,,,,,,,,,
"Keychron K8 Wireless Bluetooth/USB Wired Mechanical Keyboard, Tenkeyless 87 Keys RGB LED Backlit Gateron Blue Switch N-Key Rollover, Aluminum Frame for Mac and Windows",B0869HSZ92,,5779,Video,16.81 x 6.42 x 2.24 ,2.96,2020-03-24,,K8C2,,,,,,,,,,,,,,,,,
"SIMTOP 11 Inch Tablet Sleeve Case for 11 inch New iPad Pro, 10.5 inch New iPad Air 4, 10.2-inch iPad, Microsoft Surface Go 2/1, Samsung Galaxy Tab, Fit Apple Magic Keyboard and Smart Keyboard Folio",B07VKCB2SX,,606,Tablet,11.02 x 8.27 x 0.71,1.008,2019-08-22,,S1009-A01D,,,,,,,,,,,,,,,,,
"iPAPA MacBook Air 13 inch Case 2020 2019 2018 Release A2337 M1 A2179 A1932 with Retina Display, Glitter Sparkly Glossy Plastic Hard Case + Keyboard Cover + Screen Protector, MacBook Air 2020 M1 Case",B08FWWJSV6,IPAPA,770,Laptop,13.5 x 10.04 x 0.79 ,1.9680000000000002,2020-10-10,,,,,,,,,,13 Inches,,,,03 Purple,,,,,
Goldtouch Go!2 Wireless Bluetooth Mobile Keyboard - PC & Mac GTP-0044W Plus Jestik Microfiber Cloth - Value Bundle,B00QL2OFHK,,1395,Computer,14.4 x 7.1 x 1.1,1.1,2014-12-04,No,8541647230,,,,,,,,,,,,,,,,,
"Logitech RUGGED FOLIO compatible with seventh-generation iPad, Graphite",B07YN9HY63,Logitech,13538,Tablet,10.63 x 8.43 x 1.26 ,1.89,,,920-009312,,,Logitech Rugged Folio 7th Generation iPad,,,,,,,,,Graphite,,,,,
"2 Pack Keyboard Cover Compatible with Asus Chromebook Flip 12.5 Inch C302 C302CA, 15.6 Inch Asus Chromebook C523NA, Asus Chromebook 14 Inch C423NA Keyboard Protector(Pink+Clear)",B089M5VQZS,,3387,Computer,14.5 x 5.3 x 0.1,0.12960000000000002,2020-06-03,,,,,,,,,,,,,,,,,,,
"ZAGG Messenger Folio - Bluetooth Tablet Keyboard - Made for Apple iPad 10.5"" and 10.5"" Air - Charcoal",B07WZGXWT4,ZAGG,425,Tablet,13.39 x 9.29 x 1.69 ,1.72,2019-08-26,,103003392,1 Lithium ion batteries required. (included),,IPad,,,,,10.5 Inches,,,,,,,,,
"60% Mechanical Keyboard, RGB LED Backlit Wired Gaming Keyboard, Ergonomic, for PC/Mac Gamer, Typist (Gateron Switches, PBT Caps)",B07S3DJBCZ,,17700,Video,5.91 x 1.69 x 5.12,1.52,2019-05-16,,HG-OTN09-BK,,,,,,,,,,,,,,,,,
Logitech (920-002478) K120 USB Keyboard Business Comfortable Quiet Typing,B00E6BH4YE,Logitech,1693,Computer,18.44 x 1.12 x 7.25,6.36,,No,FBA_920-002478,,,FBA_920-002478,,,,,,,,,Black,,,,,
"RK ROYAL KLUDGE RK84 Wireless Bluetooth/2.4Ghz 80% RGB Mechanical Gaming Keyboard, Three Modes Connectable Keyboard with Hot-Swappable Tactile Brown Switch",B08M3KPXV5,,6046,Video,13.9 x 6.89 x 1.93 ,0.5632,2020-10-28,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"KenKe Keyboard Case for iPad 10.2, iPad 7th Generation 2019 iPad 8th Generation 2020 case with Pencil Holder Detachable Wireless Bluetooth Keyboard Cover for iPad 7th / 8th Gen 10.2 inch-(Gray)",B086PFGHCV,,2612,Tablet,10.24 x 6.69 x 0.39,1.32,2020-04-02,,iPad 10.2 8th Gen (2020)/7th Gen (2019),,,,,,,,,,,,,,,,,
"Keyboard Cover for Acer Spin 3 SP314-51/52/53N/53GN/54N 14"" |Acer Spin 5 SP513-52N/53N/54N 13.3"" |Acer Swift 3 SF314-(52~57) 13.3| Swift 5 SF514-(51~54N) Keyboard Protective Skin -Clear",B08374TSV7,,1534,Computer,15.1 x 6.7 x 0.8 ,0.12960000000000002,2019-12-27,,,,,,,,,,,,,,,,,,,
"MOSISO Compatible with MacBook Pro 13 Case 2019 2018 2017 2016 Release A2159 A1989 A1706 A1708, Plastic Corner Protective Hard Shell Case & Keyboard Cover Skin & Screen Protector, Crystal Clear",B07GNGNXL6,MOSISO,7122,Laptop,12 x 8.5 x 0.6,1.536,2018-08-20,No,,,,,,,,,13,,,,Crystal Clear,,,,,
"MOSISO Compatible with MacBook Pro 13 inch Case 2016-2020 Release A2338 M1 A2289 A2251 A2159 A1989 A1706 A1708, Plastic Hard Shell Case & Keyboard Cover Skin & Webcam Cover, Crystal Black",B08B4F1GR5,MOSISO,1001,Laptop,12.4 x 8.9 x 0.83 ,1.632,,,,,,,,,,,,,,,Crystal Black,,,,,
"MUBUY-GOL Keyboard Cover for HP EliteBook 735 G5 G6 13.3""|Elitebook 830 G5 G6 13.3"" |EliteBook x360 1030 G3 G4 13.3"" (NOT FIT EliteBook 830 G7 G4 G3 G2 G1, 1040 G3 G4, 1030 G2 G1) -Gradual Blue",B07QM7K6M7,,1781,Computer,15.5 x 6 x 0.1 ,0.12960000000000002,2019-04-18,,,,,,,,,,,,,,,,,,,
"Keyboard Cover Compatible with Acer Premium R11 11.6"" Convertible 2-in-1 Chromebook 2020 2019 2018/15.6"" Acer Chromebook 15 /11.6"" Acer Chromebook 11 CB3-131 CB3-132/13.3"" Acer Chromebook R13",B071DBP7VV,,280,Computer,13 x 5.3 x 0.6 ,0.1008,2016-12-05,No,FM-ACCB3-RB,,,,,,,,,,,,,,,,,
"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",B087RTV311,Acer,248,Computers,14.31 x 9.86 x 0.71,3.97,2020-06-01,,A515-55-56VK,1 Lithium ion batteries required. (included),,A515-55-56VK,,Intel,,802.11ax,15.6 Inches,1920 x 1080,,,,1,2,DDR4 SDRAM,8 Hours,4
"LENTION Silicone Keyboard Cover Protector for MacBook Pro 13 15 17 Inch (with or without Retina Display, 2015 or Older Version) and MacBook Air 13 2010-2017, Ultra Thin Soft Skin (Black)",B01A5DZAFQ,,1763,Computer,13.31 x 5.31 x 0.08,0.0512,2016-01-04,No,4409157,,,,,,,,,,,,,,,,,
"Mini Wireless Keyboard Handheld Remote Keyboard with Touchpad Work for PC,Raspberry Pi 2, Android TV Box,KODI,Windows 7 8 10",B08JHNYQ1H,,552,Computer,7.5 x 3.94 x 1.1 ,0.6368,2020-09-19,,,,,,,,,,,,,,,,,,,
"Keyboard Cover Skin for Apple Wireless iMac Magic Keyboard MLA22LL/ A (Model: A1644), Silicone Skin Protector with Pattern & Big Letter Design, US Layout, Cute Cat",B08937Y8MW,,3709,Computer,12.95 x 5.24 x 0.28 ,0.2304,2020-05-23,,,,,,,,,,,,,,,,,,,
"Keyboard Mouse Combos,Soke-Six Waterproof Multimedia 2.4GHz Wireless Gaming Keyboard with USB Cordless Ergonomic Mouse DPI Control for Desktop PC Laptop(White)",B071JS8G9Z,,1111,Computer,17.52 x 5.91 x 0.98,1.76,2017-06-06,No,SK0029,,,,,,,,,,,,,,,,,
"BOYI 60% Mechanical Keyboard,BOYI 61 Key Mini RGB Cherry MX Switch PBT Keycap 60% RGB Mechanical Gaming Keyboard (Cherry MX Blue, BOYI Mini Color 5)",B089R8GKSG,,36082,Video,12.76 x 6.5 x 1.89 ,1.94,2020-06-06,,,,,,,,,,,,,,,,,,,
"KEANBOLL 2PCS Pack Thai Keyboard Stickers,Thai English Keyboard Replacement Sticker with Black Background and White Lettering,Each Unit: 0.43"" x 0.51"" -Matte",B07YYKMS5G,,23366,Computers,7 x 2.5 x 0.1 ,0.12960000000000002,2019-10-10,,,,,,,,,,,,,,,,,,,
"USB Switch Selector, KVM Switcher for 2 PC Sharing 4 USB Devices, Mouse Keyboard Scanner Printer Computer, with One Button Swapping and 2 USB Cable",B07ZKHWZRB,,216,KVM,3.7 x 2.6 x 0.79,1.696,2020-04-17,,KM402,,,,,,,,,,,,,,,,,
"Keyboard Cover for 13.3 Inch Dell Latitude 3300 3301 Laptop /13.3 Inch Dell Latitude 5300 Laptop /13.3"" Dell Latitude 7300 13.3"" Keyboard Protective Skin",B08F9WJK62,,4479,Computer,6.9 x 5 x 0.1 ,0.256,2020-08-05,,,,,,,,,,,,,,,,,,,
"Perixx PERIBOARD-514 Plus Wired PS2 Trackball Keyboard, Built-in Optical 1000 DPI Rollerball Mouse and Embedded Number Keys PS/2 Serial Keyboard, US English Layout",B00EVK9CWM,Perixx,36973,Video,14.54 x 5.19 x 0.55,1.15,2013-10-02,,11062,,,PERIBOARD-514P PLUS,,,,,,,,,Black,,,,,
Razer Cynosa Chroma - Multi-color RGB Gaming keyboard - Individually Backlit Keys - Spill-Resistant Durable Design - RZ03-02260200-R3U1 (Renewed),B079RMSDKQ,ASUS,4307,Computer,20.7 x 14.2 x 7.5,2.34,2018-02-12,No,RZ03-02260200-R3U1-cr,,,,,,,,,,,,Black,,,,,
"Anyshock Desk Mat, Extended Gaming Mouse Pad Large 23.6"" x 13.7"" XL Keyboard Mousepad with Stitched Edges Non Slip Base, Water-Resistant Computer Desk Pad for Office and Home(Dark Blue Triangle)",B08MWF1YGJ,Anyshock,60423,Office,13.89 x 2.68 x 2.52 ,2.1919999999999997,2020-11-06,,,,,,,,,,,,,,Dark Blue Triangle,,,,,
"Windows, Office, Adobe Photoshop Shortcut Keys Large Computer Mouse Mat/Desk Pad for Gamer, Office & Home. Non-Slip Custom Extended Rubber Base Gaming Mousepad, Desk Protector Cover, Keyboard Blotter",B07ZWRLLTV,,83099,Office,12 x 2.6 x 1.9 ,1.4080000000000001,2019-11-01,,,,,,,,,,,,,,,,,,,
