,ASIN,Title,Brand,Best-Sellers_Rank,Best_Sellers_Rank_fields,Product_Dimensions_Inches,Item_Weight_Pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_Model_Number,Average_Battery_Life_In_Hours),Batteries,Card_Description,Chipset_Brand,Voltage,Series,National_Stock_Number,Wireless_Type,Max_Screen_Resolution_Pixels,Standing_Screen_Display_Size_Inches,Operating_System,Color,Graphics_Coprocessor,Number_of_USB_2.0_Ports,Number_of_USB_3.0_Ports,Computer_Memory_Type,Processor_Brand,Processor_Count,Memory_Speed_In_GHz,Hard_Drive_Interface,Hardware_Platform,Flash_Memory_Size_In_GB
295,B089J162XK,"ASUS TUF VR Ready Gaming Laptop, 15.6"" IPS FHD, AMD Ryzen 7-4800H Octa-Core up to 4.20 GHz, NVIDIA RTX 2060, 8GB RAM, 512GB SSD, RGB Backlit KB, RJ-45 Ethernet, Win 10",ASUS,3919, Computers & Accessories ,14.2 x 10.1 x 1 ,5.07,2020-06-01,,FA506IV,8.7 Hours,1 Lithium Metal batteries required.,Dedicated,NVIDIA,,TUF506IV,,802.11ac,7680x4320 ,15.6 ,Windows 10,Fortress Gray,NVIDIA GeForce RTX 2060,4,,DDR4 SDRAM,AMD,8,2.666,Solid State,PC,512 GB
296,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,8972, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
297,B0899GH6H9,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Rose Gold)",XIDU,1346, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-08-03,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 801.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Rose Gold,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,128 GB
298,B087Z44RCM,"Sager NP7877DW 17.3-Inch Thin Bezel FHD 144Hz Gaming Laptop, Intel i7-10875H, RTX 2060 6GB, 16GB RAM, 500GB NVMe SSD, Windows 10",Sager,23234, Computers & Accessories ,10.32 x 15.59 x 1.16 ,5.51,2020-05-01,,NP7877DW,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,NP7877DW,,802.11ax,1920x1080,17.3 ,Windows 10,,NVIDIA GeForce RTX 2060,,,SDRAM,Intel,8,2.9330000000000003,Serial ATA,PC,512 GB
299,B08MDMCTHD,"2020 New HP 17-by3063st 17.3"" HD+ Display Notebook, Intel i3-1005G1, 8GB Memory, 128GB SSD + 1TB Hard Drive, Windows 10, Silver",HP,2152, Computers & Accessories ,20.5 x 13.5 x 2.8 ,5.1,2020-11-01,,17-by3063st,9 Hours,1 Lithium ion batteries required. (included),,,,HP Notebook,,802.11ax,1600 x 900 ,17.3 ,Windows 10,,Intel UHD Graphics,,,DDR4 SDRAM,Intel,2,3.4,Solid State,PC,128 GB
300,B08NM1R8GC,"HP Stream 14-Inch Touchscreen Laptop, AMD Gold 3150U, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (Sliver) cm Accessories",HP,27572, Computers & Accessories ,17.8 x 12.01 x 2.64 ,4.29,2020-11-16,,hp 14fq,10 Hours,1 Lithium Metal batteries required. (included),,Amd,,HP Stream,,,1366 x 768 M,14 ,Windows 10,,Amd,,,DDR4 SDRAM,AMD,2,,Solid State,PC,64 GB
301,B08KWPW9TS,"New_Dell_Inspiron_15 3000 Laptop, Intel Celeron 4205U Processor (1.8 GHz), 4GB Memory, 128GB SSD, HDMI, SD Card Reader, Bluetooth, Camera, USB Type-C, Windows 10 S w/ Shoxlab Pro Accessory",Shoxlab,8724, Computers & Accessories ,14.96 x 10.16 x 0.89 ,4.48,2020-09-15,,INSPIRON15-3000,,1 Lithium ion batteries required. (included),Dedicated,Intel,,Inspiron3593,,Bluetooth,1920 x 1080 ,15.6 ,Windows 10 S,Black,Intel HD Graphics 610,,,DDR SDRAM,Intel,2,1.8,Solid State,PC,128 GB
302,B08CGF67SY,"HP - 14"" Laptop - AMD Athlon Silver - 4GB Memory - 128GB SSD - Jet Black - 14-fq0013dx",HP,29512, Computers & Accessories ,12.76 x 8.86 x 0.71 ,3.24,2020-07-06,,14-fq0013dx,,1 Lithium ion batteries required. (included),,,,14-fq0013dx,,Bluetooth,1366 x 768 ,14 ,Windows 10,Jet Black,AMD Radeon,,,DDR2 SDRAM,AMD,2,,EIDE,PC,128 GB
303,B07QY4RN79,"ASUS Chromebook Flip C434 2-In-1 Laptop- 14"" Full HD 4-Way NanoEdge Touchscreen, Intel Core M3-8100Y Processor, 8GB RAM, 64GB eMMC Storage, Backlit KB, Chrome OS- C434TA-DS384T Silver",ASUS,1530, Computers & Accessories ,12.6 x 8 x 0.6 ,3.3,2019-04-22,,C434TA-DS384T,,1 Lithium Polymer batteries required. (included),Integrated,Intel,100240 volts,Asus Chromebook Flip C434,,"Bluetooth, 802.11b/n/ac",1920 x 1080 ,14 ,Chrome OS,Citrus Soda Yellow,Intel HD Graphics 615,,3,DDR3 SDRAM,Intel,2,1.0,Solid State,PC,64
304,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,5224, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
305,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,11795, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
306,B08HZ4KWJW,"CHUWI HeroBook Plus 15.6 inch Windows 10 Laptop, 1080P Laptop Computer with Intel J4125 and 12GB RAM / 256GB SSD, Support RJ45 Gigabit Ethernet, BT5.1, Dual WiFi",CHUWI,6517, Computers & Accessories ,1.42 x 9.53 x 0.77 ,3.59,2020-09-14,,HeroBook Plus,,1 Product Specific batteries required. (included),,Intel,,HeroBook Plus,,"Bluetooth, 802.11bgn, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,,Intel UHD Graphics 600,,,DDR4 SDRAM,Intel,4,2.0,Gigabit Ethernet,PC,256 GB
307,B085XRL3P1,"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro (Herobook Pro(2020))",CHUWI,1853, Computers & Accessories ,13.07 x 8.43 x 0.84 ,3.06,2020-03-11,,Herobook Pro,5 	years,,Integrated,Intel,,HeroBook Pro,,Bluetooth,1920 x 1080 Lines Per Inch,14.1 ,Windows 10,Herobook Pro(2020),Intel Celeron Processor N4000,,,DDR4 SDRAM,Intel,4,,ATA-4,PC,256 GB
308,B07H9L93KW,"Dell Inspiron 15.6-inch HD Display Laptop PC, Intel Core i3-7130U 2.7GHz Processor, 8GB DDR4, 128GB SSD, Stereo Speakers, WiFi, Bluetooth, MaxxAudio, HDMI, No DVD, Intel HD Graphics 620, Windows 10",Dell,6499, Computers & Accessories ,15 x 10.2 x 0.9 ,4.8,2018-09-12,,Dell Inspiron I3567,,1 Lithium Metal batteries required. (included),Integrated,Intel,,Dell Inspiron I3567,,802.11bgn,,15.6 ,Windows 10,Non-Touch | i3-7130U | 128GB SSD,Intel UHD Graphics 620,1,2,DDR4 SDRAM,Intel,2,2.133,Solid State,PC,128
309,B088XYCZ79,"Samsung Galaxy Book S 13.3"" FHD Touchscreen | Intel Core i5 Processor | 8GB Memory | 256GB SSD (NP767XCM-K01US), Mercury Gray",Samsung Electronics,3358, Computers & Accessories ,12.02 x 8 x 0.46 ,2.09,2020-07-17,,NP767XCM-K01US,17 Hours,1 Lithium ion batteries required. (included),Integrated,Intel® UHD Graphics,,Galaxy Book S,,802.11ax,1920 x 1080 ,13.3 ,Windows 10 Home,Gray,,,,DDR4 SDRAM,Intel,1,,,PC,256 GB
310,B08HZ4KWJW,"CHUWI HeroBook Plus 15.6 inch Windows 10 Laptop, 1080P Laptop Computer with Intel J4125 and 12GB RAM / 256GB SSD, Support RJ45 Gigabit Ethernet, BT5.1, Dual WiFi",CHUWI,6517, Computers & Accessories ,1.42 x 9.53 x 0.77 ,3.59,2020-09-14,,HeroBook Plus,,1 Product Specific batteries required. (included),,Intel,,HeroBook Plus,,"Bluetooth, 802.11bgn, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,,Intel UHD Graphics 600,,,DDR4 SDRAM,Intel,4,2.0,Gigabit Ethernet,PC,256 GB
311,B0826DJYG1,"Dell Inspiron 15 5593: 10th Gen Core i5-1035G1, 256GB SSD, 8GB RAM, 15.6"" Full HD Display, Backlit Keyboard, Windows 10",Dell,8596, Computers & Accessories ,19.41 x 13.07 x 2.91 ,6.02,2019-12-01,,5593,,,Integrated,Allwinner,,Inspiron 15,,802.11ac,1920 x 1080,15.6 ,Windows 10,Silver,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,2.666,Solid State,PC,64
312,B07QRZJRKK,"HP - Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame, Natural Silver",HP,10564, Computers & Accessories ,11 x 7.7 x 0.7 ,2.7,2019-11-04,,6HS56UA,,1 Lithium ion batteries required.,Integrated,Intel,,HP Pavilion,,Bluetooth,,11.6 ,Windows 10,,Intel UHD Graphics 605,,,DDR4 SDRAM,Intel,2,,Solid State,PC,128
313,B0843172YB,"Lenovo Ideapad 14inch Laptop, Intel Pentium Gold 5405U Dual Core 2.3GHz Processor, 4GB RAM, 128GB SSD Storage, Intel UHD Graphics, WiFi, Bluetooth, HDMI, Windows 10 (Renewed)",Lenovo,26124, Computers & Accessories ,14 x 10 x 0.8 ,3.5,2020-01-21,,Lenovo Ideapad,,1 Lithium ion batteries required. (included),Integrated,Intel,,Lenovo Ideapad 14inch,,Bluetooth,1366 x 768 ,14 ,Windows 10,,Intel,1,2,DDR4 SDRAM,Intel,2,2.3,,PC,
314,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,8972, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
315,B089S9N86P,"HP Stream 14 Pink - Celeron N4000 - 4 GB RAM - 64 GB eMMC Storage - 14"" LCD - Wireless - Bluetooth - Webcam - Windows 10 S",HP,4263, Computers & Accessories ,17.64 x 11.89 x 2.68 ,4.53,2020-09-28,,14-cb172wm,14 Hours,1 Lithium ion batteries required. (included),,,,HP Stream,,Bluetooth,,14 ,Windows 10 S,,,,,DDR4 SDRAM,Intel,0,,,,64 GB
316,B07ZT682VS,"Asus C423NA Chromebook 14"" HD Laptop (Intel Dual Core Celeron Processor N3350, 4GB DDR4 RAM, 64GB SSD) Webcam, WiFi, Bluetooth, Type-C, Google Chrome OS - Silver (Renewed)",ASUS,4645, Computers & Accessories ,19.8 x 13.9 x 4.1 ,3.1,2019-09-17,,C423NA HD,,1 Lithium ion batteries required. (included),Integrated,Intel,,Asus Chromebook,,"802.11bgn, 802.11b, 802.11b/g",1366 x 768 ,14 ,Chrome OS,,Intel HD Graphics 500,1,1,SDRAM,Intel,2,,Solid State,PC,64
317,B08LGCYC3B,"2020 HP Pavilion 15.6"" FHD 1080p Non-Touchscreen Laptop PC, 10th Gen Intel Core i5-1035G1 Quad-Core Processor, 8GB DDR4 RAM, 256GB SSD, HDMI, WiFi 6, Bluetooth 5, Webcam, Windows 10 Home, Silver",HP,19454, Computers & Accessories ,14.27 x 9.46 x 0.7 ,4.25,2020-10-20,,15-Silver,8 Hours,1 Lithium ion batteries required.,,Intel,,15-silver,,802.11ac,1920x1080 ,15.6 ,Windows 10 Home,Silver,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,3.9,Solid State,PC,256 GB
318,B081945D2S,"HP 14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 8GB DDR4 128GB SSD Backlit Keyboard Windows 10 with S Mode",HP,11996, Computers & Accessories ,12.8 x 8.9 x 0.7 ,4.33,2019-11-10,,14-dq1033cl,5 Hours,1 Lithium ion batteries required.,Integrated,Intel,,14-dq1033cl,,802.11ac,1920 x 1080,14 ,Windows 10,,Intel UHD Graphics,,2,DDR4 SDRAM,Intel,4,,Solid State,PC,128
319,B0865VBN6X,"ROG Zephyrus G15 (2020) Ultra Slim Gaming Laptop, 15.6” 240Hz FHD, GeForce RTX 2060, AMD Ryzen 7 4800HS, 16GB DDR4, 1TB PCIe NVMe SSD, Windows 10 Pro, GA502IV-XS76",ASUS,1950, Computers & Accessories ,14.2 x 9.9 x 0.8 ,4.6,2020-04-01,,GA502IV-XS76,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,ROG Zephyrus G15,,"Bluetooth, 802.11ax",1920 x 1080 ,15.6 ,Windows 10 Home,,NVIDIA GeForce RTX 2060,,4,DDR4 SDRAM,AMD,8,3.2,USB,PC,1
320,B08FC4VGNG,"HP Pavilion x360 2-in-1 14"" HD Touch-Screen Laptop, Intel Core i3-1005G1, HDMI, USB-C, Wi-Fi, Webcam, Bluetooth, Natural Silver, Intel UHD Graphics, Windows 10 Home in S Mode (8GB RAM |128GB SSD)",HP,6991, Computers & Accessories ,8.7 x 12.8 x 0.7 ,3.55,2020-08-06,,HP Pavilion,,1 Lithium ion batteries required. (included),,Intel,,HP Pavilion,,Bluetooth,1366 x 768 ,14 ,Windows 10 S,Natural Silver,Intel® UHD Graphics,,,DDR4 SDRAM,Intel,2,,Solid State,PC,128 GB
321,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,5787, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
322,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,12628, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
323,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,12628, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
324,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
325,B08MTFBY8D,"2020 Lenovo IdeaPad Flex 5 2-in-1 14"" Full HD IPS Touchscreen Convertible Laptop PC, AMD Ryzen 3 4300U Quad-Core Processor, 4GB RAM, 128GB SSD, HDMI, Webcam, Windows 10 S, Graphite Gray",Lenovo,8830, Computers & Accessories ,18.6 x 11.1 x 2.8 ,3.63,2020-11-05,,81X5GH2HUS,10 Hours,1 Lithium ion batteries required. (included),Integrated,,,Lenovo Ideapad,,Bluetooth,1920x1080 ,14 ,Windows 10 S,,Integrated AMD Radeon Graphics,,,DDR4 SDRAM,AMD,2,3.2,Solid State,PC,128 GB
326,B08G141GFT,"Laptop 14.1 inch notebook computer, IPS display, Intel 64-bit quad-core Atom x5 E8000 processor, 4GB RAM, 64GB eMMC ROM, scalable 1TB HDD solid state drive, 10000mAh high battery life, Windows 10 Home",YITAOERA,17210, Computers & Accessories ,17.28 x 11.1 x 2.2 ,3.47,2020-08-17,,NB142,,,Integrated,Intel,,NB142,,"Bluetooth, 802.11b",1366*768 ,14.1 ,Windows 10,,1366*768,,,DDR3 SDRAM,Intel,2,2.5,ATA-5,PC,
327,B0826R1P4G,"Dell Inspiron 5000 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Backlit KB, HDMI, WiFi, Bluetooth, Win10)",Dell,14423, Computers & Accessories ,14.33 x 9.8 x 0.71 ,4.0,2019-12-01,,Dell,,,Integrated,Intel,,Dell,,Bluetooth,1920 x 1080,15.6 ,Windows 10 Home,,Intel UHD Graphics,2,1,DDR4 SDRAM,Intel,4,3.9,,PC,
328,B08GY11KYR,"2020 15.6 inch Laptop, IPS Display, Intel 64-bit Quad-core celeron_j3455 Processor, 6GB RAM, 256GB SSD, scalable 1TB SSD Solid State Drive, 10000mAh high Battery Life, Windows 10 Pro",YITAOERA,22367, Computers & Accessories ,18.5 x 11.26 x 2.6 ,3.96,2020-08-28,,NB15A,,,Integrated,Intel,,NB15A,,"Bluetooth, 802.11a",1920x1080 ,15.6 ,Windows 10 Pro,,1920x1080,,,DDR3 SDRAM,Intel,4,2.5,Serial ATA-300,PC,256 GB
329,B08HMFKXD5,"Lenovo IdeaPad 3 15.6"" HD Touchscreen LED-Backlit Business Laptop, Intel Core i3-1005G1, 8GB DDR4, 256GB PCIe SSD, Webcam, WiFi, Bluetooth, HDMI, Windows 10 Home in S Mode w/ GCube 32GB Flash Drive",Lenovo,41369, Computers & Accessories ,13.8 x 9.1 x 0.75 ,3.5,2020-02-26,,IdeaPad 3,,,Dedicated,Intel,,Ideapad 3,,802.11ac,1366x768 ,15.6 ,Windows 10 Home,Almond,Intel UHD Graphics,1,,DDR4 SDRAM,Intel,2,3.4,Solid State,PC,256 GB
330,B08KH9SX3G,"ASUS ZenBook 14 Ultra-Slim Laptop 14” Full HD NanoEdge Bezel Display, Intel Core i7-1165G7, 8GB RAM, 512GB PCIe SSD, NumberPad, Thunderbolt 4, Windows 10 Home, Pine Grey, UX425EA-EH71",ASUS,2194, Computers & Accessories ,12.6 x 8.2 x 0.55 ,2.58,2020-10-07,,UX425EA-EH71,,1 Lithium ion batteries required. (included),Integrated,Intel,19 volts,ZenBook 14,UX425EA-EH71,"Bluetooth, 802.11ax",1920 x 1080 ,14 ,Windows 10 Home,Pine Grey,Intel Iris Xe Graphics,,3,DDR4 SDRAM,Intel,4,4.266,USB-C,PC,512
331,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,10036, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
332,B0899GH6H9,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Rose Gold)",XIDU,1519, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-08-03,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 801.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Rose Gold,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,128 GB
333,B08BNZ5NTG,"2020 Lenovo Yoga C740 14"" FHD IPS Touchscreen Premium 2-in-1 Laptop, 10th Gen Intel Quad Core i5-10210U, 8GB RAM, 256GB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Windows 10, Aluminum Chassis",Lenovo,7869, Computers & Accessories ,12.7 x 8.4 x 0.7 ,1.12,2020-06-23,,LENOVO,13 Hours,1 Lithium Polymer batteries required. (included),,Intel,,Yoga C740 2-in-1,,802.11ac,1920 x 1080,14 ,Windows 10,Mica,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,,Serial ATA,PC,256 GB
334,B07P6NRTNW,"Jumper Windows 10 Laptop, Traditional Laptop Computers 13.3'' Mini Laptop Intel N3350 4GB RAM 64GB ROM Laptops Supports up to 256GB TF Card Expansion Office 365 Personal for 1 Year",Jumper,1324, Computers & Accessories ,12.4 x 8.1 x 0.71 ,2.7,2019-02-26,,Ebook X3,6 Hours,1 Lithium Polymer batteries required.,Integrated,Intel,,EZbook X3,,"802.11bgn, 802.11ac",1920*1080 Lines Per Inch,13.3 ,Windows 10,Black,Intel Graphics 500 Core,,,DDR3L-1600 SDRAM,Intel,2,,USB 3.0,PC,64 GB
335,B07CB2GTH2,"HP Chromebook 11 G4 11.6 Inch Laptop (Intel N2840 Dual-Core, 2GB RAM, 16GB Flash SSD, Chrome OS), Black (Renewed)",HP,2457, Computers & Accessories ,,4.14,2018-04-02,,,11 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,Chromebook,,"802.11a/b/g/n/ac, 802.11abg, 802.11a/b/g/n, 802.11a",1366 x 768 ,11.6 ,Chrome OS,Black,Intel HD Graphics,2,,Unknown,Intel,2,1.6,ATA,PC,16
336,B08RNGZS1G,Laptop Computers 14-Inch Windows-10 Notebook - WinBook Intel Celeron Processor 6GB RAM 64GB ROM HD IPS Display Dual Band WiFi Numeric Touchpad Removal Webcam HDMI (Grey),Winnovo,3194, Computers & Accessories ,12.99 x 8.66 x 0.63 ,4.27,2020-12-30,,WinBook,,1 Lithium Polymer batteries required. (included),"Intel HD Graphic 500, Integrated",Intel,220 volts_of_direct_current,WinBook,,"802.11bgn, 801.11ac",1366 x 768 ,14 ,Windows 10 S,Gray,Intel HD Graphics 500,,2,DDR3 SDRAM,Intel,2,,USB 3.0,PC,6 GB
337,B087Z6DDS5,"Sager NP7858DW 15.6-Inch Thin Bezel FHD 144Hz Gaming Laptop, Intel i7-10875H, RTX 2060 6GB, 16GB RAM, 1TB NVMe SSD, Windows 10",Sager,64883, Computers & Accessories ,10.16 x 14.21 x 1.1 ,4.85,2020-05-01,,NP7858DW,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,NP7858DW,,802.11ax,1920x1080,15.6 ,Windows 10,,NVIDIA GeForce RTX 2060,,,SDRAM,Intel,8,2.9330000000000003,Serial ATA,PC,
338,B08LVGDRG8,"HP Stream 14"" HD Laptop PC, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 S, Blue",HP,12249, Computers & Accessories ,13.27 x 8.9 x 0.7 ,3.17,2020-10-26,,14CB171,11 Hours,1 Lithium ion batteries required. (included),,Intel,,14-stream,,802.11ac,1366x768 ,14 ,Windows 10 S,,Intel UHD Graphics 600,1,,DDR4 SDRAM,Intel,2,2.6,Solid State,PC,64 GB
339,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,5787, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
340,B085XRL3P1,"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro (Herobook Pro(2020))",CHUWI,1613, Computers & Accessories ,13.07 x 8.43 x 0.84 ,3.06,2020-03-11,,Herobook Pro,5 	years,,Integrated,Intel,,HeroBook Pro,,Bluetooth,1920 x 1080 Lines Per Inch,14.1 ,Windows 10,Herobook Pro(2020),Intel Celeron Processor N4000,,,DDR4 SDRAM,Intel,4,,ATA-4,PC,256 GB
341,B08HZ4KWJW,"CHUWI HeroBook Plus 15.6 inch Windows 10 Laptop, 1080P Laptop Computer with Intel J4125 and 12GB RAM / 256GB SSD, Support RJ45 Gigabit Ethernet, BT5.1, Dual WiFi",CHUWI,10142, Computers & Accessories ,1.42 x 9.53 x 0.77 ,3.59,2020-09-14,,HeroBook Plus,,1 Product Specific batteries required. (included),,Intel,,HeroBook Plus,,"Bluetooth, 802.11bgn, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,,Intel UHD Graphics 600,,,DDR4 SDRAM,Intel,4,2.0,Gigabit Ethernet,PC,256 GB
342,B08PVGW9K3,"Used Well Chromebook C200M -11.6 inches 2.16-GHz Intel Bay Trail-M Dual-Intel Core N2830 CPU with 4GB of RAM and 16GB of Flash Storage, Chrome OS-Black/Silver",Ubrands,792, Computers & Accessories ,12 x 7.9 x 0.8 ,3.51,2020-12-07,,ASUS C200m,,1 Lithium ion batteries required. (included),,,,ASUS Chromebook,,Bluetooth,1366 x 768 ,11.6 ,Windows,,N2830,,,DDR3 SDRAM,Intel,2,2.16,ESATA,PC,16 GB
343,B08BB2TH49,"Dell Latitude 3510 15.6"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10510U 10th Gen 1.8GHz Quad-core (4 Core) - 8GB RAM - 256GB SSD",Dell,23209, Computers & Accessories ,9.76 x 14.23 x 0.71 ,6.2,2020-06-16,,3510,,1 Lithium Polymer batteries required.,Integrated,Intel,,J4X67,,Bluetooth,1920 x 1080 ,15.6 ,Windows 10 Pro,,,,,DDR4 SDRAM,Intel,1,1.8,,PC,256
